PROVINCIA ESTABLECIMIENTO,PARTIDO ESTABLECIMIENTO,Recuento de CUIT/L PRODUCTOR,NO CLIENTES,Establecimientos por Productor,Suma de TOTAL DE HECTAREAS SEMBRADAS,Total de hectareas de no clientes,Porcentaje de hectareas de no clientes
SANTA FE,BELGRANO,199,106,838,123191,65603.6391,"53,25 %"
SANTA FE,GENERAL OBLIGADO,115,38,710,86724,20696.14,"23,86 %"
SANTA FE,IRIONDO,219,105,955,133958,54387.4713,"40,60 %"
SANTA FE,LA CAPITAL,55,23,183,33652,12511.72,"37,18 %"
SANTA FE,NUEVE DE JULIO,239,140,697,563709,285727.412,"50,69 %"
SANTA FE,SAN CRISTOBAL,711,468,1336,687496,310355.29000000004,"45,14 %"
SANTA FE,SAN JAVIER,172,100,401,78265,29321,"37,46 %"
SANTA FE,SAN JUSTO,166,69,1036,162446,57486.39,"35,39 %"
SANTA FE,SAN MARTIN,278,157,1844,253915,119823.09155000001,"47,19 %"
SANTA FE,VERA,197,127,427,202957,156138.87,"76,93 %"